哈尔滨二次封城开始了！ 新乡 hscr槐树传人的微博视频,;回复@爱吃螃蟹的嘟妈 的表态:@巨蟹座辣辣;回复@花升花落 的表态:@花升花落;,04月19日 21:50    ,rumor
哈尔滨好像封城了 哈尔滨 杨锐_丰乔的微博视频,回复@网名而已不要也罢ye:现在白天零上18、9需要带棉帽子？;回复@网名而已不要也罢ye:...你这啥逻辑？风多大你不知道？他们一站站一天 多冷啊;冬天的视频呀;,04月15日 12:41    ,rumor
哈尔滨已经封城！因绥芬河口岸疫情影响，现在不进不出，高速路下来的从哪里来回哪里去！ 木南者也的微博视频,20度的天气   交警通知带棉帽子吗  造谣可是违法的;这天带棉帽子？;不用谢 评论配图;,04月15日 15:47    ,rumor
俄罗斯150万人准备从三个口岸，绥，黑，抚远三个口岸进入中国，现在第一批，未来一个星期全牡丹江地区各市县全部接待俄罗斯回国人员，俄罗斯己封城，俄罗斯不治疗患病人员，在俄罗斯人员全部回国。 http,回复@嘟嘟猪G:假的，在俄公民一共就16万;哪有一百五十万这么夸张;真的假的;,04月06日 20:38    ,rumor
这钱没有人眼红，这才是值得拿高薪的人！人民心服口服，支持张文宏#钟南山 一些欧美国家不是真正的封城# 曝料一哥的微博视频,这样顶尖的医学专家年收入184万不算高，比起那些明星歌星少的可怜了，连零头都不够！;说实话这次疫情他不仅表现出来的专业素质让人印象深刻，个人呈现出的独立人格更是让人称赞，希望不要污染了!;和那些戏子比比差远了，人民需要这样的人才多挣点钱;,04月06日 15:28    ,rumor
#马鞍山市医生确诊肺炎带病看病#马鞍山估计已经封城了                 ,,02月06日 23:13    ,rumor
#封城日记#我的城市是湖北最后一个被封城的城市，金庸笔下的襄阳，郭靖黄蓉守城战死的地方。至此，湖北省，封省。   襄阳,官方的消息是没有封城，好消息是襄阳的机场很多航班已经取消了。所以大家不要担心。我们襄阳人现在能做的就是做好自我的防护，不出门，不给别人添麻烦。我们一起加油;虽然我支持封城不给别人添麻烦，但是想想湖北人民很多都是无辜被传染的！吃野味的人真真都该死！！！;爆哭😭抱抱你，亲爱的，加油！;,01月24日 23:45    ,rumor
大家都在发新年祝福新年快乐，我真的一点都没法融入到新年氛围里，信阳明天就封城了，我真的觉得特别特别恐怖，身边还有很多家长朋友不去重视，我头都大了。真的很害怕信阳会变成第二个武汉，上海重庆那些城市现在全都说是重灾区，信阳远远比他们严重，却没人重视，没有帮助和及时的处理才是最让人崩溃。希望河南不要抛弃信阳，帮帮我们吧。为什么不早点封，等到七万人进来了才去封，真的来得及么？ @人民日报 @新浪河南 @平安信阳 @在信阳 #信阳封城# #信阳肺炎# #来抄河南的作业# #河南硬核#,信阳zf好像没有管市里……听说县里都挺好;我们家今天还家庭聚会了，我爸出门说什么也不戴口罩，我武汉回来的朋友昨天还在去网吧玩，我男朋友连续三天出门去那种公共场所打麻将，我真的快急死了，嘴快说烂了手指头快发烂了，总有那么多我爱的人不去重视我真的又急又气！！！;我真的;,01月25日 00:25    ,rumor
襄阳正式封城，至此整个湖北封省，封一个省，护一国人，大家多多保重 襄阳,瞎造谣;道听途说，造谣生事，无稽之谈;瞎造谣;,01月25日 01:18    ,rumor
#土耳其发生6.8级地震##土耳其旅行##河南新增23例确诊病例# 信阳封城了，土耳其发生地震了，疫情又严重了，机票可以退全款了，下个月就该回国了，我该去哪 马尔代夫,别回来 真的;别回来了，疫情过后回也没关系的！;信阳没有封城 评论配图;,01月25日 15:21    ,rumor
