紧急通知：妇幼保健院通知：现在得白血病的小孩越来越多，请告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！ 没有孩子 的也请友情转转！！！大家行动起来，传递一份我们的爱心！健康最重要（国际妇保办宣）       ,回复@谷传建H:谢谢;回复@黄石网警巡查执法:造谣一张嘴''辟谣跑断腿''辛苦了;@旺仔俱乐部 @旺旺集团总部;,2017/4/19 12:54,rumor
【奶粉里的肉毒杆菌哪来】新西兰恒天然公司一工厂发现其乳粉检出肉毒杆菌。娃哈哈、可口可乐、多美滋等使用了其乳粉。肉毒杆菌对1岁以下婴儿存在较大威胁。毒素进入到血液以后有可能导致孩子神经痉挛或麻痹的中毒症状。                 ,,2016/9/28 7:45,rumor
现在得白血病的小孩越来越多，提醒家里的爸爸妈妈爷爷奶奶叔叔阿姨，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶，可口可乐、爽歪歪、哇哈哈、AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的，都还有肉毒杆菌，现正在紧急召回。有孩子的都转下！！！没有孩子的也请友情转一下，大家行动起来，传递一下我们的爱心,已确认是谣言，发布及转发将负法律责任。;回复@丽馨--开心果:谢谢您的点赞;回复@知北少年游:谢谢亲点赞，扩散出去吧。;,2016/4/26 14:22,rumor
宁夏妇幼保健院的通知，是真的吗？说真的，超市里的货价上这些商品还是很多的，而且也还有很多人在买……各位小编怎么看？@宁夏热线  @宁夏新闻网  @平安宁夏  @娃哈哈  @可口可乐                 ,,2016/4/19 10:46,rumor
请扩散！请不要给宝宝喝有添加剂的牛奶饮料，旺仔牛奶，可口可乐，爽歪歪，哇哈哈ad钙奶，未来星，qq星，美汁源果粒奶优菠萝味，它们有有毒肉杆菌！                 ,原来是谣言，以后没有被证实的消息，禁止转发，谢谢那位今天举报我微博的人，提醒了我没有被证实的消息是不能乱转发的 评论配图;已被证实是谣言，谣言散布者已吃官司。;,2016/4/18 9:37,rumor
紧急通知：    妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没有孩子的也请友情转转！！！大家行动起来       ,真的吗？;,2016/4/6 23:20,rumor
中央电视台《焦点访谈》已经播出可口可乐承认旗下(果粒橙)含有美国禁用农药「多菌灵」，跟其他农药一样，对脑部影响最大，可引致局部麻痹，并会导致癌症。,回复@兽医扁鹊:是谣言吗？;回复@林嘉儁:是假的吗？;好假;,2016/3/10 20:53,rumor
家长们注意了：现在得白血病的孩子越来越多，妇幼保健院提醒家长们：不要给孩子喝爽歪歪和含有牛奶添加剂的饮料。也告诉家中有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、哇哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味、都含有肉毒杆菌，现紧急召回！大家友情转发传递爱心不要冷漠！                 ,从来不喝饮料的。谢谢老师！;,2015/12/15 12:21,rumor
紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！                 ,;,2015/12/15 12:20,rumor
#电影真相禁区#幼儿园刚才发紧急通知：妇幼保健院提示，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下,,2015/11/3 22:45,rumor
紧急通知：妇幼保健院通知现在得白血病的小孩越来越多。妇幼保健院提示您请不要给孩子喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的，都含有肉毒杆菌。现在紧急召回大家行动起来传递一份我们的爱心。”                 ,,2015/12/25 21:06,rumor
妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。 大家行动起来，传递一份爱心！ 宝鸡·马营镇,,2015/9/8 20:30,rumor
紧急通知： 妇幼保健院通知：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给孩子喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回！   （国际妇保办宣）@keneehuskek,,2015/10/18 22:04,rumor
📢📢妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都注意啦，为了孩子的健康，                 ,,2015/9/11 13:34,rumor
妇幼保健院通知：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。@张思莱医师 这是真的吗,,2015/9/9 17:27,rumor
