张文宏医生自爆收入和全家福。69年生人，浙江瑞安人，从小喜欢读书。学习成绩优秀，在老家被邻里称为神童。高考考入上海医学院，8年硕博连读后留学。现是全球知名的传染病专家。自爆年收入184万，来源于3个方面,都辟谣过了，你为什么乱发，举报你;,04月06日 21:30    ,rumor
【刚知道原来上海顶级三甲医院的科室主任工资奖金也就50万，强烈呼吁这次疫情过后给医护人员加薪，感觉张主任的收入和自身的专业能力和品德太不匹配了！这工资奖金人家卖课卖软件的一周就赚到了，社会分配机制出了问题哪！】️模子（张文宏医生）自爆收入和全家福[抱拳]69年生人，浙江瑞安人，从小喜欢读书学习成绩优秀，在老家被邻里称为神童高考考入上海医学院，8年硕博连读后留学🇺🇸现在是全球知名的传染病专家自爆年收入184万，来源于3个方面[抱拳]1，华山医院呼吸科主任，工资奖金年入50万2，国家重点项目学科带头人，年入120万3，每年在全球顶尖医学杂志，（柳叶刀）上发表一篇署名论文，专利费2万美元[抱拳]大儿子在英国留学，小儿子在爱菊小学读书穷娃逆袭[调皮]知识就是财富[抱拳]书中自有黄金屋[强]                ,公立医院这么多收入可以了，又不是市场化的私立医院;医生高收入才能让最聪明的人学医，以前医学院高考分数高，而现在分数线越来越低，名校甚至是调剂生，最后受伤的还是绝大多数人，早该改提高收入了。;晓磊，负责任的和你说，他们实际收入绝对大大超出你的预期。我有亲戚在三甲医院这个职位。;,04月05日 16:51    ,rumor
#张文宏医生自爆收入和全家福#1969年生人，浙江瑞安人，从小喜欢读书。学习成绩优秀，在老家被邻里称为神童。高考考入上海医学院，8年硕博连读后留学🇺🇸自爆年收入184万，来源于3个方面：1，华山医院呼吸科主任，工资奖金年入50万2，国家重点项目学科带头人，年入120万3，每年在全球顶尖医学杂志，（柳叶刀）上发表一篇署名论文，专利费2万美元[抱拳]目前，大儿子在英国留学，小儿子在爱菊小学读书。                ,,04月06日 11:17    ,rumor
《中国首个公布个人财产的医生》全球知名传染病专家，华山医院呼吸科主任张文宏医生。张文宏医生自爆收入和全家福。69年生人，浙江瑞安人，从小喜欢读书。学习成绩优秀，在老家被邻里称为神童。高考考入上海医学院，8年硕博连读后留学。现是全球知名的传染病专家。自爆年收入184万，来源于3个方面,,04月06日 11:01    ,rumor
张文宏医生自曝年收入184万，有一点让人非常吃惊：他不是任何企业的董事或者股东张医生高考考入上海医学院，八年硕博连读后留学。现是全球知名的传染病专家。自爆年收入184万，来源于3个方面,回复@范世友JYC:;谣言;假消息;,04月06日 22:08    ,rumor
你看这个病毒，它高考数学150,假的，你先算一下再说;回复@juven陶:去超市买炸货啊。回趟家，不吃垃圾食品，叫回家？;假的。第一不是2.1。第二数据也不对;,02月07日 11:23    ,rumor
#2019河南高考分数线# 不知是真是假，害怕                 ,假，刚看河南教育厅公众号，河南考生其实是少了的，卷还难，我是不信理科一本线就降6分;文科生无法接受;一般这么传的都是真的了(去年也是);,2019/6/23 23:58,rumor
#河南高考成绩# 网传#河南高考分数线# 出炉，你觉得今年的分数线高吗？,有没有同学普及一下 在全国一里面你们分数线算最低的了 为什么都喊高;网传河南高考分数线出炉，你觉今年高不高？;卷子比去年难，分数线还比去年高;,2019/6/24 9:49,rumor
圆了我的一本梦吧！愿成绩超分数线好多！🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏#河南高考分数线#                 ,回复@他的名字真好Ting:去年就是它先发的，一模一样;回复@爱你的激素:八九不离十，不挣扎了;这个好像还不是官方发的啊;,2019/6/24 10:10,rumor
#2019河南高考分数线# 25号零点考生可查成绩!文科，一本542，二本449，大专180理科，一本493，二本390，大专180@都市报道 @都市频道,假的;,2019/6/24 10:29,rumor
痛心的新闻：女儿高考了710分，但因家长的征信不良问题没有得到高等院校录取资格，信用社会，失去信用寸步难行，诚信为本！信用且行且珍惜！                 ,,2019/6/12 14:55,rumor
💹痛心的新闻：女儿高考考了710分，但因家长的征信不良问题没有得到高等院校录取资格，信用社会，失去信用寸步难行，诚信为本！信用且行且珍惜，不要害了下一代。相信这时代还是公平的。PS 欠我钱的人儿，也请警醒 不要当儿戏，还没起诉你 是因为不想给你征信造成不良.自重,回复@全球购-龙信乐国际酒业:别那么无知;造谣拘留;回复@全球购-龙信乐国际酒业:我支持;,2019/6/12 13:16,rumor
高考滿分作文分享：湛江市第一中学，伍广德，男，保送清华大学，高考，全国唯一一个满分作文。写酒，但整篇文章没有一个酒字，却把酒描写得出神入化，倾倒了全部阅卷官，一致给了满分。全文如下，供各位鉴赏。          液体之火让你若梦若醒飘飘欲...                 ,回复@1依小 的表态:谢谢;//@画出色:回复@傲娇祖宗0310 的表态:刚确认过，这是新乡市著名作家刘德亮的作品，几年前就出现了，每年高考后说是某某考生写的满分作文。在百度上搜索作文名字，很快就明白真伪了。我视野不够广，才被套路[尴尬]不过，写的真是好，朋友们见谅啊[抱拳];//@正瞧着路呢:造谣;,2019/6/12 14:52,rumor
