马航消失1800天，157人又遇难，🐷年3月10日上午8：44，一架载有157人的埃塞航空客机坠毁，无一人生还🙏！世事无常，人永远不知道，谁哪次不经意地跟你说了再见之后，就真的不会再见了。所以，分别时、说再见时、转身出门时，你好好抱抱他〔她〕吧，他〔她〕也想好好抱抱你！#埃塞俄比亚客机失事##埃航坠毁客机8名中国乘客遇难# 济南人气发型师大佐的秒拍视频       ,假视频;,2019/3/14 15:34,rumor
话说MH370航班的黑匣子被探测落在南太平洋4000米至6000米深的海沟后，号称能下潜到7000米的蛟龙号官方微博@蛟龙深潜 立刻删光了之前的所有微博。人艰不拆，亲，且删且珍惜啊！  （转）,呵呵，给钉在某柱上了~~~天天让人看内容不实。。。。;臭不要脸的造谣者。;叫兽哥你这完全无节操啊，蛋碎了- 0  @性感女人的故事 http://t.cn/8sOgx4M;,2014/4/10 22:50,rumor
【出来混迟早是要还的】那个MH370的黑匣子不是被探测到在南太平洋4000到6000米的海沟里嘛？当我听到这个消息的时候马上就兴奋了起来，因为我依稀记得蛟龙号第五次下潜最大深度达7062米。那搜这个黑匣子还不是小意思吗？刚想@蛟龙深潜 突然发现蛟龙成了乌龙了微博都被删光了一刚！（转）                 ,煞笔死全家不谢，搜索面积多大你知道吗，下潜就完事了？;营销微博造谣死全家。;回复@X平方Y平方:;,2014/4/10 23:10,rumor
马航MH370终于有点消息了，他们被困在一个岛上，唯一有电的手机。13226268268 但是欠费了，貌似欠的还挺多 我刚充了10元还停机。好心的人帮忙充点话费，传播正能量！不要问我是谁！请叫我雷锋！！【weixin】,略叼;神经病;回复@庆龙的逆袭:帅哥求短号。;,2014/4/10 23:06,rumor
马航MH370终于有点消息了，他们被困在一个岛上，唯一有电的手机号15252262131但是欠费了，，貌似欠的还挺多我刚充了10元还停机。好心的人帮忙充点话费，传播正能量！好人有好报 http,回复@流白的Gemini:汗;回复@殷宪彪:我也是发着玩！没什么;回复@流白的Gemini:我只是发着玩，又没什么我去;,2014/4/2 12:03,rumor
　　　　　　　　　　　　　　　　　　　　　据马来西亚最新报道、马航内乘客名单已经公布、所有乘客手机都已关机，唯独13355157696这是MH370上的一位乘客的号码。但打通了没人接。大家给他充点话费。别停机了电信的。充多少不是问题，让爱心传递，早日找到MH370 我在,,2014/3/19 12:16,rumor
额 根据马来西亚新闻发布会的最新报道、马航飞机上所有乘客名单已经公布、所有乘客手机都已经关机，15014275197这是MH370现存的唯一一位乘客的号码。但打通了没人接。大家给他充点话费。别停机了 中国移动的。我就知道这么多。别问我是谁、请叫我雷锋、爱心接力,,2014/3/19 16:56,rumor
据马来西亚最新报道 马航内乘客名单已经公布 所有乘客手机都已关机 唯独13827174949 但打通了没人接 这是MH370上的一位乘客的号码大家给他充点话费 别停机了 我就知道这么多,;,2014/3/18 15:58,rumor
马航最新消息！ 这个号码13770331481是MH370上一位乘客的号码，能打通但没人接。 是中国的同胞就给充点话费，别让它停机了，移动的，别充错了。我就知道这么多 别问我是谁 我是雷锋的接班人！我刚充了100块,骗术不高明;,2014/3/19 19:52,rumor
马航最新消息，据马来西亚最新报道、马航内乘客名单已经公布、所有乘客手机都已关机，唯独13585856447这是MH370上的一位乘客的号码。但打通了没人接。大家给他充点话费。别停机了 移动的。我就知道这么多。别问我是谁、爱心接力,,2014/3/19 15:06,rumor
