佛罗里达洲的台风，太壮观了！！！ 世界搞笑排行榜的微博视频,那一声炸雷劈的我一哆嗦，手机差点摔了;确定不是p的？;转发微博;,2019/10/16 22:00,rumor
#日本台风地震火山一起来#这台风景色壮观不？景色漂亮不？没错就是他——要席卷整个日本！ 天津 迟方磊Black的微博视频,回复@ZhangAN棋:在外注意安全！望早日回到祖国的怀抱啊！;回复@迟方磊Black:我在东京这边;回复@ZhangAN棋:横滨市的朋友拍的！;,2019/10/12 19:57,rumor
#日本台风地震火山一起来#你永远不知道，明天和意外哪一个先来，所以好好把握现在，莫辜负了这蹉跎岁月。做想做的事，过想要的生活，爱想要爱的人……   上海 佛系背包客的微博视频,这景象是真的吗？！;假的吧打台风不打雷的;好可怕;,2019/10/12 21:28,rumor
#日本台风地震火山一起来##强台风海贝思登陆日本# 我哥从日本发来的……这特么是科幻片？希望大家都没事。 _Keris的微博视频 ,你哥喜欢吹牛逼。或者你喜欢吹牛逼。;完全不信;真的吗？这也太....;,2019/10/12 21:22,rumor
我的妈哎…昨晚睡着了发生这么恐怖的事情吗我大溧阳不是最安全的地方嘛洪水发不到地震震不到台风刮不到这是怎么了溧阳天目湖那边服务区爆炸十几辆大卡车烧了唉 溧阳市 T-MyWD的微博视频,而且没有通报;超过两百天转发是不是就算造谣了...官方都辟谣了;我的妈耶 发条微博还有杠精出来举报哦;,2019/9/27 5:55,rumor
台风利奇马最大风力17级。台州下辖的温岭市  浙商卢献星的微博视频,幸好砸中的是车尾;;真是长春市同志街附近前段时间的暴雨天气，营销号能不能确认下再发？;,2019/8/9 20:40,rumor
#台风眼##临海全市被淹#         唐山气象台17时发布暴雨和大风黄色预警,@垚小烨同学;这是真的嘛;@这个微博用户真好看啊;,2019/8/10 18:58,rumor
#台风天骑手停送外卖##台风# 请给暴风雨中的这个外卖小哥点,唉;明明知道有台风，为什么还要点外卖!别人的命不是命吗!;都别送了，我都不敢出门了;,2019/8/9 21:47,rumor
特大台风席卷台州 台州 狂歌走天涯331004的微博视频,回复@Elice天使:怪不得里面的人说话都听不懂;回复@凹凸牛爱小怪兽:谣言 在成都;我靠，在台州哪里啊😱😱😱;,2019/8/9 12:57,rumor
#浙江台风##台风利奇马#继续跟进报道，工地吊机吹倒砸向附近居民楼，胆小者勿入，以免引起极度不适，希望里面没住人。 中影包小姐的微博视频,回复@im-lingmin:浙江朋友发来的，原来不是啊;这不是利奇马，这视频很早以前就有了;,2019/8/10 9:39,rumor
#浙江台风# 台州 http,明知山有虎 偏向虎山行;,2019/8/9 13:41,rumor
#宁波一村庄爆发山洪#看看椒江一桥二桥多严重，在浙江的朋友们小心#台风利奇马# http,去年广东的;台风登陆了你们怎么还在跑车啊;我去;,2019/8/10 13:01,rumor
#超强台风利奇马来了# 没事别出门，出门注意安全！ http,回复@胆小鬼毛毛菜:;回复@嬷星人:顺~风走的快;我以为是我买的唯品会的东西被吹翻了;,2019/8/9 21:23,rumor
#风王利奇马登陆浙江温岭#  台风登陆现场：所经之处四处“飞沙走石”，连汽车也站不稳啊！ http,,2019/8/10 11:29,rumor
#台风利奇马来袭# 台风来袭，户外驾车需小心，避开风口，不然容易...安全第一. http,我说兄弟，跑题了吧？你是快手八卦。;8月12日沈阳欢迎全网网红大咖光临仙洋传媒。;危险;,2019/8/9 16:32,rumor
#台风山竹# 深圳沿江高速，小面包车被吹翻了，愿车上的人平平安安🙏 深圳 深圳美女的微博视频,@在冬天里  不管这是哪儿吧，只能说台风看来真能把人吹飞。。;傻瓜，这是飞燕登陆日本时拍的;已举报造谣;,2018/9/16 13:35,rumor
今日中午12点过后，全佛山高速公路只出不进！#台风山竹##台风山竹袭来##佛山身边事# 佛山文颖的微博视频,视频是借用的，消息是准确的。;最好不要发不相关视频，以免引起不必要的恐慌;日本的视频，已举报不实信息;,2018/9/16 11:37,rumor
我正在看【2018年第24号台风“潭美”，即将生成，预计9月21日强势登陆我国】，分享给你，一起看吧！ 2018年第24号台风“潭美”，即将生成，预计9月21日强势登陆我国 #台风谭美来袭##台风谭美# 【哇塞，排队】 http,假如是真的俩广学生岂不是美滋滋;假的！！！！！！请不要传谣啊！！！;知名科学科普博主原来是个造谣的  666啊 是个人都能这样认证了啊;,2018/9/17 6:53,rumor
#潍坊爆料#从外太空感受下世纪最强台风“山竹”威力！！！ 潍坊·文化路 别拿钢镚不当钱的秒拍视频,人类太自以为是呢，地球根本都没放在眼里，一场台风就能让你吃不消;谣言止于智者 这是NASA 9月12日拍的 飓风“佛罗伦斯”;这是另一个飓风，;,2018/9/16 10:17,rumor
